id,label,subject,email
1,spam,Free Gift,Exclusive offer! Get 30% off on premium products. Buy now.
2,spam,Exclusive Deal,You have been selected to receive a $10000 reward. Click the link to verify your account.
3,spam,Win Big Today,Invest in our crypto platform and double your investment in 7 days.
4,ham,Meeting Reminder,Happy birthday! Hope you have a wonderful day with your family.
5,ham,Class Notes,I've shared the project files in the team drive. Please review them before tomorrow.
6,spam,Urgent Action Required,Your parcel is waiting. Confirm your shipping address to avoid return.
7,ham,Lunch Plan,Here are the class notes from today's lecture. Let me know if anything is unclear.
8,ham,Lunch Plan,Please find the attached report for this week's progress. Let me know your feedback.
9,spam,Urgent Action Required,Your parcel is waiting. Confirm your shipping address to avoid return.
10,spam,Crypto Opportunity,Final reminder: Your subscription expires today. Update your payment details.
11,spam,Claim Your Prize,Invest in our crypto platform and double your investment in 7 days.
12,ham,Interview Schedule,I've shared the project files in the team drive. Please review them before tomorrow.
13,ham,Lunch Plan,Thank you for your payment. Your invoice is attached for your records.
14,spam,Exclusive Deal,Your bank account has been suspended. Confirm your credentials immediately.
15,spam,Exclusive Deal,Your bank account has been suspended. Confirm your credentials immediately.
16,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Tuesday.
17,spam,Account Alert,Exclusive offer! Get 60% off on premium products. Buy now.
18,ham,Weekly Report,I've shared the project files in the team drive. Please review them before tomorrow.
19,ham,Vacation Photos,Happy birthday! Hope you have a wonderful day with your family.
20,spam,Free Gift,Your parcel is waiting. Confirm your shipping address to avoid return.
21,ham,Interview Schedule,Please find the attached report for this week's progress. Let me know your feedback.
22,ham,Meeting Reminder,Thank you for your payment. Your invoice is attached for your records.
23,spam,Account Alert,Your parcel is waiting. Confirm your shipping address to avoid return.
24,ham,Doctor Appointment,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
25,ham,Weekly Report,Your appointment with Dr. Sharma is confirmed for Friday.
26,ham,Lunch Plan,Please find the attached report for this week's progress. Let me know your feedback.
27,ham,Project Update,Your appointment with Dr. Sharma is confirmed for Wednesday.
28,spam,Claim Your Prize,Earn money fast from home with no experience. Register today.
29,ham,Class Notes,Happy birthday! Hope you have a wonderful day with your family.
30,ham,Family Get Together,Your appointment with Dr. Sharma is confirmed for Thursday.
31,spam,Urgent Action Required,Exclusive offer! Get 70% off on premium products. Buy now.
32,ham,Family Get Together,I've shared the project files in the team drive. Please review them before tomorrow.
33,ham,Family Get Together,Thank you for your payment. Your invoice is attached for your records.
34,spam,Account Alert,Congratulations! You won a brand new smartphone. Pay a small processing fee.
35,spam,Congratulations!,You have been selected to receive a $10000 reward. Click the link to verify your account.
36,spam,Congratulations!,Invest in our crypto platform and double your investment in 7 days.
37,spam,Win Big Today,Earn money fast from home with no experience. Register today.
38,spam,Claim Your Prize,Earn money fast from home with no experience. Register today.
39,spam,Claim Your Prize,You have been selected to receive a $5000 reward. Click the link to verify your account.
40,ham,Weekly Report,"Hi Meera, just a reminder that our meeting is scheduled for Monday at 6:00 PM."
41,ham,Doctor Appointment,Here are the class notes from today's lecture. Let me know if anything is unclear.
42,spam,Congratulations!,Congratulations! You won a brand new smartphone. Pay a small processing fee.
43,spam,Win Big Today,Congratulations! You won a brand new smartphone. Pay a small processing fee.
44,ham,Family Get Together,I've shared the project files in the team drive. Please review them before tomorrow.
45,spam,Exclusive Deal,Earn money fast from home with no experience. Register today.
46,spam,Urgent Action Required,Congratulations! You won a brand new smartphone. Pay a small processing fee.
47,ham,Weekly Report,Please find the attached report for this week's progress. Let me know your feedback.
48,ham,Interview Schedule,I've shared the project files in the team drive. Please review them before tomorrow.
49,spam,Claim Your Prize,You have been selected to receive a $100 reward. Click the link to verify your account.
50,spam,Crypto Opportunity,Exclusive offer! Get 50% off on premium products. Buy now.
51,ham,Invoice Attached,Your appointment with Dr. Sharma is confirmed for Monday.
52,spam,Free Gift,Your bank account has been suspended. Confirm your credentials immediately.
53,spam,Limited Time Offer,Your parcel is waiting. Confirm your shipping address to avoid return.
54,ham,Invoice Attached,Thank you for your payment. Your invoice is attached for your records.
55,spam,Lottery Winner,You have been selected to receive a $10000 reward. Click the link to verify your account.
56,ham,Family Get Together,I've shared the project files in the team drive. Please review them before tomorrow.
57,spam,Claim Your Prize,Your parcel is waiting. Confirm your shipping address to avoid return.
58,ham,Vacation Photos,"Hi Priya, just a reminder that our meeting is scheduled for Tuesday at 6:00 PM."
59,ham,Weekly Report,"Hi Sneha, just a reminder that our meeting is scheduled for Friday at 10:00 AM."
60,ham,Vacation Photos,Your appointment with Dr. Sharma is confirmed for Monday.
61,ham,Project Update,Your appointment with Dr. Sharma is confirmed for Thursday.
62,spam,Urgent Action Required,Your parcel is waiting. Confirm your shipping address to avoid return.
63,ham,Doctor Appointment,I've shared the project files in the team drive. Please review them before tomorrow.
64,spam,Exclusive Deal,Your bank account has been suspended. Confirm your credentials immediately.
65,spam,Win Big Today,Final reminder: Your subscription expires today. Update your payment details.
66,spam,Crypto Opportunity,You have been selected to receive a $5000 reward. Click the link to verify your account.
67,spam,Crypto Opportunity,Exclusive offer! Get 70% off on premium products. Buy now.
68,ham,Interview Schedule,Thank you for your payment. Your invoice is attached for your records.
69,ham,Invoice Attached,I've shared the project files in the team drive. Please review them before tomorrow.
70,spam,Account Alert,Your bank account has been suspended. Confirm your credentials immediately.
71,spam,Limited Time Offer,Exclusive offer! Get 70% off on premium products. Buy now.
72,spam,Lottery Winner,Your bank account has been suspended. Confirm your credentials immediately.
73,spam,Free Gift,You have been selected to receive a $250 reward. Click the link to verify your account.
74,spam,Win Big Today,Invest in our crypto platform and double your investment in 7 days.
75,ham,Family Get Together,Here are the class notes from today's lecture. Let me know if anything is unclear.
76,spam,Exclusive Deal,Exclusive offer! Get 40% off on premium products. Buy now.
77,spam,Urgent Action Required,Invest in our crypto platform and double your investment in 7 days.
78,spam,Urgent Action Required,Exclusive offer! Get 60% off on premium products. Buy now.
79,spam,Congratulations!,Exclusive offer! Get 60% off on premium products. Buy now.
80,spam,Free Gift,Final reminder: Your subscription expires today. Update your payment details.
81,ham,Project Update,Here are the class notes from today's lecture. Let me know if anything is unclear.
82,ham,Lunch Plan,Here are the class notes from today's lecture. Let me know if anything is unclear.
83,ham,Meeting Reminder,I've shared the project files in the team drive. Please review them before tomorrow.
84,spam,Urgent Action Required,Exclusive offer! Get 40% off on premium products. Buy now.
85,spam,Limited Time Offer,Your parcel is waiting. Confirm your shipping address to avoid return.
86,spam,Win Big Today,Congratulations! You won a brand new smartphone. Pay a small processing fee.
87,spam,Claim Your Prize,Final reminder: Your subscription expires today. Update your payment details.
88,spam,Lottery Winner,Your parcel is waiting. Confirm your shipping address to avoid return.
89,spam,Lottery Winner,Congratulations! You won a brand new smartphone. Pay a small processing fee.
90,spam,Free Gift,Exclusive offer! Get 60% off on premium products. Buy now.
91,spam,Crypto Opportunity,Invest in our crypto platform and double your investment in 7 days.
92,ham,Vacation Photos,"Hi Karan, just a reminder that our meeting is scheduled for Friday at 2:30 PM."
93,spam,Account Alert,Your bank account has been suspended. Confirm your credentials immediately.
94,spam,Crypto Opportunity,Invest in our crypto platform and double your investment in 7 days.
95,spam,Claim Your Prize,Exclusive offer! Get 80% off on premium products. Buy now.
96,ham,Family Get Together,Here are the class notes from today's lecture. Let me know if anything is unclear.
97,ham,Interview Schedule,Here are the class notes from today's lecture. Let me know if anything is unclear.
98,spam,Limited Time Offer,Earn money fast from home with no experience. Register today.
99,spam,Limited Time Offer,Earn money fast from home with no experience. Register today.
100,spam,Free Gift,Earn money fast from home with no experience. Register today.
101,ham,Lunch Plan,Happy birthday! Hope you have a wonderful day with your family.
102,spam,Urgent Action Required,Congratulations! You won a brand new smartphone. Pay a small processing fee.
103,spam,Claim Your Prize,Final reminder: Your subscription expires today. Update your payment details.
104,spam,Limited Time Offer,Congratulations! You won a brand new smartphone. Pay a small processing fee.
105,spam,Urgent Action Required,Congratulations! You won a brand new smartphone. Pay a small processing fee.
106,spam,Account Alert,Final reminder: Your subscription expires today. Update your payment details.
107,spam,Win Big Today,Your bank account has been suspended. Confirm your credentials immediately.
108,ham,Project Update,Your appointment with Dr. Sharma is confirmed for Monday.
109,ham,Project Update,Thank you for your payment. Your invoice is attached for your records.
110,spam,Claim Your Prize,Exclusive offer! Get 40% off on premium products. Buy now.
111,spam,Win Big Today,Your parcel is waiting. Confirm your shipping address to avoid return.
112,spam,Crypto Opportunity,Earn money fast from home with no experience. Register today.
113,spam,Lottery Winner,Earn money fast from home with no experience. Register today.
114,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Monday.
115,ham,Invoice Attached,I've shared the project files in the team drive. Please review them before tomorrow.
116,ham,Weekly Report,Here are the class notes from today's lecture. Let me know if anything is unclear.
117,spam,Claim Your Prize,You have been selected to receive a $250 reward. Click the link to verify your account.
118,ham,Project Update,"Hi Rahul, just a reminder that our meeting is scheduled for Thursday at 10:00 AM."
119,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Tuesday.
120,ham,Doctor Appointment,Happy birthday! Hope you have a wonderful day with your family.
121,spam,Win Big Today,Exclusive offer! Get 50% off on premium products. Buy now.
122,spam,Account Alert,Final reminder: Your subscription expires today. Update your payment details.
123,spam,Urgent Action Required,Your parcel is waiting. Confirm your shipping address to avoid return.
124,spam,Exclusive Deal,Your parcel is waiting. Confirm your shipping address to avoid return.
125,ham,Weekly Report,Your appointment with Dr. Sharma is confirmed for Monday.
126,spam,Crypto Opportunity,You have been selected to receive a $10000 reward. Click the link to verify your account.
127,ham,Interview Schedule,Here are the class notes from today's lecture. Let me know if anything is unclear.
128,ham,Family Get Together,Your appointment with Dr. Sharma is confirmed for Monday.
129,spam,Limited Time Offer,Earn money fast from home with no experience. Register today.
130,spam,Free Gift,Final reminder: Your subscription expires today. Update your payment details.
131,spam,Win Big Today,Invest in our crypto platform and double your investment in 7 days.
132,ham,Lunch Plan,Here are the class notes from today's lecture. Let me know if anything is unclear.
133,ham,Invoice Attached,Thank you for your payment. Your invoice is attached for your records.
134,spam,Account Alert,Final reminder: Your subscription expires today. Update your payment details.
135,ham,Class Notes,"Hi Riya, just a reminder that our meeting is scheduled for Monday at 10:00 AM."
136,ham,Lunch Plan,I've shared the project files in the team drive. Please review them before tomorrow.
137,spam,Limited Time Offer,Exclusive offer! Get 80% off on premium products. Buy now.
138,ham,Lunch Plan,Thank you for your payment. Your invoice is attached for your records.
139,spam,Exclusive Deal,Final reminder: Your subscription expires today. Update your payment details.
140,spam,Exclusive Deal,Invest in our crypto platform and double your investment in 7 days.
141,ham,Family Get Together,Can we have lunch tomorrow around 2:30 PM? Let me know if that works.
142,spam,Exclusive Deal,Earn money fast from home with no experience. Register today.
143,ham,Doctor Appointment,Please find the attached report for this week's progress. Let me know your feedback.
144,spam,Congratulations!,You have been selected to receive a $100 reward. Click the link to verify your account.
145,ham,Family Get Together,Thank you for your payment. Your invoice is attached for your records.
146,spam,Crypto Opportunity,Congratulations! You won a brand new smartphone. Pay a small processing fee.
147,spam,Claim Your Prize,Exclusive offer! Get 60% off on premium products. Buy now.
148,ham,Family Get Together,Your appointment with Dr. Sharma is confirmed for Thursday.
149,ham,Vacation Photos,I've shared the project files in the team drive. Please review them before tomorrow.
150,spam,Crypto Opportunity,You have been selected to receive a $1000 reward. Click the link to verify your account.
151,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Tuesday.
152,ham,Doctor Appointment,Thank you for your payment. Your invoice is attached for your records.
153,spam,Limited Time Offer,Final reminder: Your subscription expires today. Update your payment details.
154,spam,Exclusive Deal,You have been selected to receive a $500 reward. Click the link to verify your account.
155,spam,Crypto Opportunity,Final reminder: Your subscription expires today. Update your payment details.
156,ham,Invoice Attached,Please find the attached report for this week's progress. Let me know your feedback.
157,spam,Claim Your Prize,Earn money fast from home with no experience. Register today.
158,spam,Account Alert,Your parcel is waiting. Confirm your shipping address to avoid return.
159,ham,Weekly Report,"Hi Sneha, just a reminder that our meeting is scheduled for Wednesday at 6:00 PM."
160,ham,Family Get Together,Please find the attached report for this week's progress. Let me know your feedback.
161,spam,Claim Your Prize,Final reminder: Your subscription expires today. Update your payment details.
162,ham,Weekly Report,Here are the class notes from today's lecture. Let me know if anything is unclear.
163,ham,Class Notes,I've shared the project files in the team drive. Please review them before tomorrow.
164,spam,Claim Your Prize,Final reminder: Your subscription expires today. Update your payment details.
165,spam,Account Alert,You have been selected to receive a $250 reward. Click the link to verify your account.
166,spam,Crypto Opportunity,Your bank account has been suspended. Confirm your credentials immediately.
167,spam,Account Alert,Earn money fast from home with no experience. Register today.
168,ham,Invoice Attached,Your appointment with Dr. Sharma is confirmed for Monday.
169,spam,Claim Your Prize,Your parcel is waiting. Confirm your shipping address to avoid return.
170,spam,Account Alert,Your parcel is waiting. Confirm your shipping address to avoid return.
171,spam,Urgent Action Required,Congratulations! You won a brand new smartphone. Pay a small processing fee.
172,ham,Doctor Appointment,Thank you for your payment. Your invoice is attached for your records.
173,ham,Interview Schedule,"Hi Vikram, just a reminder that our meeting is scheduled for Wednesday at 11:15 AM."
174,spam,Claim Your Prize,Your bank account has been suspended. Confirm your credentials immediately.
175,spam,Win Big Today,Invest in our crypto platform and double your investment in 7 days.
176,spam,Exclusive Deal,Earn money fast from home with no experience. Register today.
177,spam,Urgent Action Required,You have been selected to receive a $500 reward. Click the link to verify your account.
178,ham,Class Notes,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
179,spam,Limited Time Offer,Earn money fast from home with no experience. Register today.
180,spam,Exclusive Deal,Exclusive offer! Get 40% off on premium products. Buy now.
181,spam,Free Gift,Exclusive offer! Get 30% off on premium products. Buy now.
182,ham,Interview Schedule,I've shared the project files in the team drive. Please review them before tomorrow.
183,ham,Doctor Appointment,Please find the attached report for this week's progress. Let me know your feedback.
184,ham,Project Update,Here are the class notes from today's lecture. Let me know if anything is unclear.
185,spam,Win Big Today,Your bank account has been suspended. Confirm your credentials immediately.
186,ham,Vacation Photos,Your appointment with Dr. Sharma is confirmed for Friday.
187,ham,Weekly Report,Please find the attached report for this week's progress. Let me know your feedback.
188,spam,Account Alert,Earn money fast from home with no experience. Register today.
189,ham,Project Update,Your appointment with Dr. Sharma is confirmed for Friday.
190,spam,Account Alert,Your bank account has been suspended. Confirm your credentials immediately.
191,ham,Weekly Report,Here are the class notes from today's lecture. Let me know if anything is unclear.
192,spam,Limited Time Offer,Your bank account has been suspended. Confirm your credentials immediately.
193,spam,Account Alert,Your parcel is waiting. Confirm your shipping address to avoid return.
194,ham,Lunch Plan,Happy birthday! Hope you have a wonderful day with your family.
195,spam,Exclusive Deal,You have been selected to receive a $1000 reward. Click the link to verify your account.
196,spam,Win Big Today,You have been selected to receive a $1000 reward. Click the link to verify your account.
197,spam,Free Gift,Your parcel is waiting. Confirm your shipping address to avoid return.
198,spam,Urgent Action Required,Invest in our crypto platform and double your investment in 7 days.
199,ham,Project Update,Please find the attached report for this week's progress. Let me know your feedback.
200,spam,Win Big Today,Exclusive offer! Get 60% off on premium products. Buy now.
201,spam,Account Alert,Invest in our crypto platform and double your investment in 7 days.
202,ham,Family Get Together,I've shared the project files in the team drive. Please review them before tomorrow.
203,spam,Congratulations!,Your bank account has been suspended. Confirm your credentials immediately.
204,ham,Vacation Photos,Happy birthday! Hope you have a wonderful day with your family.
205,ham,Meeting Reminder,Thank you for your payment. Your invoice is attached for your records.
206,spam,Free Gift,Final reminder: Your subscription expires today. Update your payment details.
207,spam,Account Alert,Final reminder: Your subscription expires today. Update your payment details.
208,ham,Weekly Report,Your appointment with Dr. Sharma is confirmed for Monday.
209,spam,Urgent Action Required,Congratulations! You won a brand new smartphone. Pay a small processing fee.
210,spam,Congratulations!,Your bank account has been suspended. Confirm your credentials immediately.
211,ham,Meeting Reminder,I've shared the project files in the team drive. Please review them before tomorrow.
212,ham,Class Notes,Your appointment with Dr. Sharma is confirmed for Thursday.
213,ham,Weekly Report,Here are the class notes from today's lecture. Let me know if anything is unclear.
214,spam,Lottery Winner,Congratulations! You won a brand new smartphone. Pay a small processing fee.
215,ham,Family Get Together,Your appointment with Dr. Sharma is confirmed for Friday.
216,spam,Congratulations!,You have been selected to receive a $100 reward. Click the link to verify your account.
217,ham,Lunch Plan,Your appointment with Dr. Sharma is confirmed for Tuesday.
218,spam,Crypto Opportunity,Earn money fast from home with no experience. Register today.
219,ham,Class Notes,Please find the attached report for this week's progress. Let me know your feedback.
220,spam,Claim Your Prize,Exclusive offer! Get 50% off on premium products. Buy now.
221,spam,Claim Your Prize,Earn money fast from home with no experience. Register today.
222,ham,Doctor Appointment,Thank you for your payment. Your invoice is attached for your records.
223,ham,Doctor Appointment,Here are the class notes from today's lecture. Let me know if anything is unclear.
224,ham,Class Notes,Thank you for your payment. Your invoice is attached for your records.
225,ham,Lunch Plan,"Hi Neha, just a reminder that our meeting is scheduled for Thursday at 11:15 AM."
226,ham,Vacation Photos,Please find the attached report for this week's progress. Let me know your feedback.
227,ham,Doctor Appointment,Can we have lunch tomorrow around 2:30 PM? Let me know if that works.
228,spam,Lottery Winner,Your bank account has been suspended. Confirm your credentials immediately.
229,spam,Claim Your Prize,You have been selected to receive a $250 reward. Click the link to verify your account.
230,spam,Account Alert,Exclusive offer! Get 80% off on premium products. Buy now.
231,ham,Project Update,"Hi Aman, just a reminder that our meeting is scheduled for Thursday at 6:00 PM."
232,ham,Lunch Plan,Thank you for your payment. Your invoice is attached for your records.
233,spam,Claim Your Prize,Invest in our crypto platform and double your investment in 7 days.
234,spam,Limited Time Offer,Earn money fast from home with no experience. Register today.
235,spam,Lottery Winner,You have been selected to receive a $500 reward. Click the link to verify your account.
236,ham,Project Update,"Hi Meera, just a reminder that our meeting is scheduled for Wednesday at 2:30 PM."
237,ham,Doctor Appointment,"Hi Vikram, just a reminder that our meeting is scheduled for Wednesday at 11:15 AM."
238,ham,Project Update,Here are the class notes from today's lecture. Let me know if anything is unclear.
239,ham,Lunch Plan,I've shared the project files in the team drive. Please review them before tomorrow.
240,ham,Doctor Appointment,Happy birthday! Hope you have a wonderful day with your family.
241,spam,Claim Your Prize,Exclusive offer! Get 80% off on premium products. Buy now.
242,spam,Free Gift,Your parcel is waiting. Confirm your shipping address to avoid return.
243,spam,Exclusive Deal,Exclusive offer! Get 40% off on premium products. Buy now.
244,ham,Doctor Appointment,I've shared the project files in the team drive. Please review them before tomorrow.
245,spam,Win Big Today,Your parcel is waiting. Confirm your shipping address to avoid return.
246,spam,Claim Your Prize,You have been selected to receive a $10000 reward. Click the link to verify your account.
247,spam,Crypto Opportunity,Earn money fast from home with no experience. Register today.
248,ham,Vacation Photos,Thank you for your payment. Your invoice is attached for your records.
249,ham,Doctor Appointment,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
250,ham,Lunch Plan,Please find the attached report for this week's progress. Let me know your feedback.
251,ham,Weekly Report,Here are the class notes from today's lecture. Let me know if anything is unclear.
252,ham,Lunch Plan,I've shared the project files in the team drive. Please review them before tomorrow.
253,spam,Crypto Opportunity,Exclusive offer! Get 30% off on premium products. Buy now.
254,spam,Crypto Opportunity,Your bank account has been suspended. Confirm your credentials immediately.
255,ham,Project Update,Happy birthday! Hope you have a wonderful day with your family.
256,spam,Win Big Today,Invest in our crypto platform and double your investment in 7 days.
257,ham,Interview Schedule,"Hi Karan, just a reminder that our meeting is scheduled for Thursday at 4:00 PM."
258,spam,Exclusive Deal,Invest in our crypto platform and double your investment in 7 days.
259,ham,Project Update,Your appointment with Dr. Sharma is confirmed for Monday.
260,ham,Invoice Attached,Your appointment with Dr. Sharma is confirmed for Wednesday.
261,spam,Urgent Action Required,Invest in our crypto platform and double your investment in 7 days.
262,spam,Limited Time Offer,Congratulations! You won a brand new smartphone. Pay a small processing fee.
263,ham,Lunch Plan,"Hi Aman, just a reminder that our meeting is scheduled for Thursday at 2:30 PM."
264,ham,Invoice Attached,Here are the class notes from today's lecture. Let me know if anything is unclear.
265,ham,Family Get Together,I've shared the project files in the team drive. Please review them before tomorrow.
266,spam,Lottery Winner,Invest in our crypto platform and double your investment in 7 days.
267,ham,Interview Schedule,"Hi Neha, just a reminder that our meeting is scheduled for Monday at 11:15 AM."
268,ham,Vacation Photos,Happy birthday! Hope you have a wonderful day with your family.
269,spam,Crypto Opportunity,Congratulations! You won a brand new smartphone. Pay a small processing fee.
270,ham,Weekly Report,Happy birthday! Hope you have a wonderful day with your family.
271,spam,Limited Time Offer,You have been selected to receive a $100 reward. Click the link to verify your account.
272,spam,Exclusive Deal,Invest in our crypto platform and double your investment in 7 days.
273,spam,Congratulations!,Invest in our crypto platform and double your investment in 7 days.
274,ham,Weekly Report,Here are the class notes from today's lecture. Let me know if anything is unclear.
275,ham,Meeting Reminder,Your appointment with Dr. Sharma is confirmed for Monday.
276,ham,Family Get Together,Please find the attached report for this week's progress. Let me know your feedback.
277,ham,Project Update,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
278,spam,Claim Your Prize,Earn money fast from home with no experience. Register today.
279,ham,Meeting Reminder,Your appointment with Dr. Sharma is confirmed for Wednesday.
280,ham,Vacation Photos,Please find the attached report for this week's progress. Let me know your feedback.
281,ham,Doctor Appointment,Can we have lunch tomorrow around 4:00 PM? Let me know if that works.
282,ham,Interview Schedule,I've shared the project files in the team drive. Please review them before tomorrow.
283,spam,Urgent Action Required,Your bank account has been suspended. Confirm your credentials immediately.
284,ham,Lunch Plan,Please find the attached report for this week's progress. Let me know your feedback.
285,spam,Win Big Today,Congratulations! You won a brand new smartphone. Pay a small processing fee.
286,spam,Congratulations!,Exclusive offer! Get 50% off on premium products. Buy now.
287,spam,Crypto Opportunity,Congratulations! You won a brand new smartphone. Pay a small processing fee.
288,spam,Free Gift,Your parcel is waiting. Confirm your shipping address to avoid return.
289,spam,Exclusive Deal,Exclusive offer! Get 40% off on premium products. Buy now.
290,ham,Invoice Attached,Can we have lunch tomorrow around 4:00 PM? Let me know if that works.
291,spam,Exclusive Deal,Earn money fast from home with no experience. Register today.
292,spam,Crypto Opportunity,Invest in our crypto platform and double your investment in 7 days.
293,spam,Account Alert,Earn money fast from home with no experience. Register today.
294,ham,Project Update,I've shared the project files in the team drive. Please review them before tomorrow.
295,ham,Class Notes,I've shared the project files in the team drive. Please review them before tomorrow.
296,spam,Congratulations!,Earn money fast from home with no experience. Register today.
297,ham,Class Notes,Happy birthday! Hope you have a wonderful day with your family.
298,spam,Free Gift,Invest in our crypto platform and double your investment in 7 days.
299,spam,Account Alert,You have been selected to receive a $250 reward. Click the link to verify your account.
300,spam,Claim Your Prize,Invest in our crypto platform and double your investment in 7 days.
301,spam,Crypto Opportunity,You have been selected to receive a $5000 reward. Click the link to verify your account.
302,ham,Project Update,Please find the attached report for this week's progress. Let me know your feedback.
303,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Thursday.
304,spam,Account Alert,Earn money fast from home with no experience. Register today.
305,spam,Lottery Winner,Invest in our crypto platform and double your investment in 7 days.
306,ham,Lunch Plan,I've shared the project files in the team drive. Please review them before tomorrow.
307,ham,Doctor Appointment,Here are the class notes from today's lecture. Let me know if anything is unclear.
308,ham,Interview Schedule,Thank you for your payment. Your invoice is attached for your records.
309,ham,Interview Schedule,Please find the attached report for this week's progress. Let me know your feedback.
310,ham,Project Update,"Hi Sneha, just a reminder that our meeting is scheduled for Thursday at 2:30 PM."
311,ham,Invoice Attached,"Hi Karan, just a reminder that our meeting is scheduled for Tuesday at 6:00 PM."
312,spam,Congratulations!,Exclusive offer! Get 30% off on premium products. Buy now.
313,ham,Family Get Together,Happy birthday! Hope you have a wonderful day with your family.
314,ham,Vacation Photos,Please find the attached report for this week's progress. Let me know your feedback.
315,ham,Doctor Appointment,Can we have lunch tomorrow around 2:30 PM? Let me know if that works.
316,spam,Account Alert,Earn money fast from home with no experience. Register today.
317,spam,Exclusive Deal,Exclusive offer! Get 30% off on premium products. Buy now.
318,ham,Interview Schedule,Your appointment with Dr. Sharma is confirmed for Friday.
319,ham,Vacation Photos,Please find the attached report for this week's progress. Let me know your feedback.
320,ham,Lunch Plan,Can we have lunch tomorrow around 2:30 PM? Let me know if that works.
321,ham,Invoice Attached,Thank you for your payment. Your invoice is attached for your records.
322,spam,Limited Time Offer,Invest in our crypto platform and double your investment in 7 days.
323,spam,Account Alert,Exclusive offer! Get 80% off on premium products. Buy now.
324,ham,Vacation Photos,Can we have lunch tomorrow around 11:15 AM? Let me know if that works.
325,spam,Limited Time Offer,Final reminder: Your subscription expires today. Update your payment details.
326,ham,Family Get Together,Please find the attached report for this week's progress. Let me know your feedback.
327,ham,Project Update,Please find the attached report for this week's progress. Let me know your feedback.
328,ham,Invoice Attached,Here are the class notes from today's lecture. Let me know if anything is unclear.
329,ham,Vacation Photos,Thank you for your payment. Your invoice is attached for your records.
330,spam,Exclusive Deal,Exclusive offer! Get 60% off on premium products. Buy now.
331,ham,Family Get Together,Please find the attached report for this week's progress. Let me know your feedback.
332,spam,Account Alert,Your bank account has been suspended. Confirm your credentials immediately.
333,spam,Exclusive Deal,Invest in our crypto platform and double your investment in 7 days.
334,spam,Lottery Winner,Your bank account has been suspended. Confirm your credentials immediately.
